folder,file,zone,temp,temp_max,ach,ehf
cluster00,single_00062,2,22.203518504922233,27.106474621684757,10.256506702042898,0.04038461538461539
cluster00,single_00063,3,28.060970760927212,35.10091198221302,7.623824063601144,0.88
cluster00,single_00064,4,29.62039619833512,40.87545336380501,4.629414274988675,0.9061538461538462
cluster00,single_00065,5,24.282314973088543,28.392014963964378,1.5256322558067912,0.3507692307692308
cluster00,single_00066,6,24.317689417274238,33.259998811478326,42.812339144380935,0.37038461538461537
cluster00,single_00067,7,32.82084320124775,43.51745740954085,1.9323631047189866,0.9723076923076923
cluster00,single_00068,8,27.88938569691846,39.760890793911216,14.926396149671614,0.7580769230769231
cluster00,single_00069,9,25.853305609224456,36.383623741474985,69.14980237729333,0.7773076923076923
cluster00,single_00070,0,27.213882661684462,37.970663163105726,30.77849477448878,0.7126923076923077
cluster00,single_00071,1,25.204286462675654,32.9474830692807,5.755946726584656,0.7480769230769231
cluster00,single_00072,2,23.546716160514386,28.22225931113652,4.238416496754612,0.6284615384615385
cluster00,single_00073,3,25.516347441547538,33.248140452446926,2.441379145486523,0.786923076923077
cluster00,single_00074,4,22.758024406995542,26.38293197525129,1.8690342925019425,0.029615384615384616
cluster00,single_00075,5,23.709272728494533,31.583460371416734,11.471999381975536,0.41807692307692307
cluster00,single_00076,6,25.468184550577877,33.48843797320967,13.74870467008931,0.655
cluster00,single_00077,7,25.937844530686696,33.883963628059284,2.3084309245849877,0.698076923076923
cluster00,single_00078,8,23.88983925771464,32.12323701469255,19.503621705608083,0.37153846153846154
cluster00,single_00079,9,23.9810574193248,29.45249116379532,6.5065620948724,0.3426923076923077
cluster00,single_00080,0,25.175096642275296,33.44446029713488,16.295044294218652,0.77
cluster00,single_00081,1,23.17630132246575,26.67562934151223,0.8009689136519051,0.535
cluster00,single_00082,2,25.578237687295275,33.28924037397069,1.7045150928910964,0.6084615384615385
cluster00,single_00083,3,24.30452380103454,28.765406838359763,1.0067466009200485,0.78
cluster00,single_00084,4,25.199850271368124,33.813792004072816,6.936176188260268,0.6215384615384615
cluster00,single_00085,5,22.13976139157593,27.55964234676407,22.520105590289287,0.3126923076923077
cluster00,single_00086,6,32.58810428623515,38.41923391997553,0.3273430313395698,0.9976923076923077
cluster00,single_00087,7,25.21002039804142,33.85218239472879,44.72639502236554,0.5261538461538462
cluster00,single_00088,8,24.679017791675577,32.809135263435195,26.657737475188572,0.7469230769230769
cluster00,single_00089,9,31.60667857947639,43.019563640998115,0.3941132650777727,0.9492307692307692
cluster00,single_00090,0,23.682506150665166,31.43768804389053,26.828362045801118,0.4065384615384615
cluster00,single_00091,1,28.21756994888923,38.18545841161557,2.7821829068004034,0.7934615384615384
cluster00,single_00092,2,24.995344887581965,33.36239828212704,9.500650364279709,0.7203846153846154
cluster00,single_00093,3,22.48018607891072,28.29808239863373,9.857644888504309,0.0876923076923077
cluster00,single_00094,4,22.229690350660995,26.455940254354378,7.922088652746979,0.08
cluster00,single_00095,5,28.448003387362103,35.199138398218224,1.3224436293477515,0.9253846153846154
cluster00,single_00096,6,28.55370460845248,35.7151520006205,7.5084531610655665,0.9011538461538462
cluster00,single_00097,7,25.998481675108085,36.057825238127535,39.114040605434916,0.6046153846153847
cluster00,single_00098,8,23.719303448616138,30.444187896715512,37.55886433348099,0.5884615384615385
cluster00,single_00099,9,22.20486785534079,26.394542382154135,13.441486878659227,0.019615384615384614
cluster00,single_00100,0,26.031560863888814,33.71565460052057,7.418631677578774,0.8626923076923076
cluster00,single_00101,1,22.747165859414658,28.15637637902557,18.279101604236818,0.41423076923076924
cluster00,single_00102,2,28.919004642277702,35.28623360171695,3.2785421654861366,0.9823076923076923
cluster00,single_00103,3,27.426480713274515,38.83171650745061,8.233290162183458,0.7303846153846154
cluster00,single_00104,4,25.36756197233812,32.706486737243615,3.6739038458792885,0.5269230769230769
cluster00,single_00105,5,22.637086780862553,27.218455977766265,2.551395458548906,0.1426923076923077
cluster00,single_00106,6,27.638603496123945,36.76466608383542,3.639866455386903,0.7623076923076924
cluster00,single_00107,7,27.20482119126588,34.661848874615174,9.062400010825673,0.7680769230769231
cluster00,single_00108,8,26.01440557566775,32.942358577108934,0.6785108382375655,0.6815384615384615
cluster00,single_00109,9,22.013805308422672,26.99413170220489,20.405027988675897,0.016923076923076923
cluster00,single_00110,0,26.155108485466055,34.23553869272916,3.526745238018546,0.7376923076923076
cluster00,single_00111,1,22.784940112397727,28.862101953219337,16.732439280771747,0.23153846153846153
cluster00,single_00112,2,26.47538926590234,36.65926443989106,24.89058283743605,0.6423076923076924
cluster00,single_00113,3,23.920444222450726,31.945601322069088,22.16626456705933,0.6003846153846154
cluster00,single_00114,4,24.48787601520845,33.40502845934732,29.03622502404874,0.5061538461538462
